QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
275570,275570,Summoner,Summoner,Mar 12 2014,78,182,7,109941,0,4.99
275670,275670,Space Run,Space Run,Jun 13 2014,73,1483,8,203741,30,14.99
275850,275850,No Man's Sky,No Mans Sky,Aug 12 2016,59,68725,11,820524,22,59.99
276770,276770,Toy Soldiers: War Chest,Toy Soldiers: War Chest,Aug 12 2015,60,199,8,11478,23,14.99
276810,276810,Mordheim: City of the Damned,Mordheim: City of the Damned,Nov 19 2015,74,3092,8,211274,106,39.99
277430,277430,Halo: Spartan Assault,Halo: Spartan Assault,Apr 4 2014,70,3067,6,365694,25,2.99
277450,277450,Imperial Glory,Imperial Glory,Apr 11 2014,69,610,5,81963,0,4.99
277460,277460,Praetorians,Praetorians,Apr 11 2014,78,288,6,73533,0,4.99
277520,277520,Albedo: Eyes from Outer Space,Albedo: Eyes from Outer Space,Apr 10 2015,66,210,24,46810,30,14.99
278080,278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,May 13 2014,71,2872,5,193698,44,49.99
278360,278360,A Story About My Uncle,A Story About My Uncle,May 28 2014,73,6675,5,399950,15,12.99
278440,278440,0RBITALIS,0RBITALIS,May 28 2015,73,227,11,31924,38,9.99
278640,278640,Terrian Saga: KR-17,Terrian Saga: KR-17,Jul 9 2014,83,196,5,51294,20,4.99
278810,278810,LA Cops,LA Cops,Mar 13 2015,45,115,10,12554,13,14.99
279260,279260,Richard & Alice,Richard & Alice,Jun 5 2014,70,297,6,56136,21,5.99
279440,279440,Joe Dever's Lone Wolf HD Remastered,Joe Devers Lone Wolf HD Remastered,Nov 27 2014,78,288,10,59365,79,14.99
279900,279900,Soul Axiom,Soul Axiom,Feb 29 2016,57,124,51,44120,63,19.99
279920,279920,Infinity Runner,Infinity Runner,Jul 14 2014,56,105,40,11658,57,6.99
279940,279940,The Book of Unwritten Tales 2,The Book of Unwritten Tales 2,Feb 19 2015,80,375,16,67077,51,29.99
281410,281410,Ubersoldier II,Ubersoldier II,Mar 25 2014,62,255,10,36049,0,9.99
