QueryID,ResponseID,ResponseName,Metacritic,RecommendationCount,SteamSpyOwners
12310,12310,Culpa Innata,66,0,22060
12320,12320,Sacred Gold,74,951,193339
12330,12330,Darkstar One,71,219,92365
12340,12340,Jack Keane,69,0,32642
12360,12360,FlatOut: Ultimate Carnage,79,1450,329106
12420,12420,Perimeter 2: New Earth,43,0,14886
12470,12470,Port Royale 2,75,179,69050
12500,12500,PuzzleQuest: Challenge of the Warlords,84,437,111017
12630,12630,Legend - Hand of God,57,0,3946
12640,12640,Drakensang,75,148,78376
12750,12750,GRID(tm),87,2893,734257
12770,12770,Rise of the Argonauts,59,375,371433
12790,12790,Damnation,41,239,69229
12810,12810,Overlord II,79,1349,1033592
12830,12830,Operation Flashpoint: Dragon Rising,76,1084,706637
12900,12900,AudioSurf,85,8181,1412737
13000,13000,Ninja Reflex: Steamworks Edition,57,0,13989
13140,13140,Americas Army 3,70,2053,915938
13200,13200,Unreal 2: The Awakening,75,188,274943
13210,13210,Unreal Tournament 3 Black,83,1888,662159
13230,13230,Unreal Tournament 2004: Editors Choice Edition,93,1318,386140
13240,13240,Unreal Tournament: Game of the Year Edition,92,1140,352960
13500,13500,Prince of Persia: Warrior Within(tm),83,396,214861
13520,13520,Far Cry(r),89,2318,860878
13530,13530,Prince of Persia: The Two Thrones(tm),85,237,206073
13540,13540,Tom Clancys Rainbow Six(r) Vegas,85,260,267410
13560,13560,Tom Clancys Splinter Cell(r),91,586,251627
13570,13570,Tom Clancys Splinter Cell Chaos Theory(r),92,1230,344889
13580,13580,Tom Clancys Splinter Cell Double Agent(r),80,492,247861
13600,13600,Prince of Persia(r): The Sands of Time,89,558,239432
13620,13620,Tom Clancys Ghost Recon(r) Desert Siege(tm),82,0,101691
13630,13630,Tom Clancys Ghost Recon(r) Island Thunder(tm),82,0,102050
15000,15000,Tom Clancys Rainbow Six Lockdown(tm),59,110,74968
15080,15080,Rayman Raving Rabbids(tm),58,133,14886
15100,15100,Assassins Creed(tm): Directors Cut Edition,79,4031,812095
15120,15120,Tom Clancys Rainbow Six(r) Vegas 2,78,2133,507021
15170,15170,Heroes of Might & Magic V,77,772,354933
15190,15190,Brothers in Arms: Road to Hill 30(tm),87,349,98822
15200,15200,Silent Hunter(r): Wolves of the Pacific,79,199,77479
15210,15210,Silent Hunter(r) III,90,382,116219
15230,15230,Blazing Angels(r) 2: Secret Missions of WWII,72,0,21522
15270,15270,Cold Fear(tm),66,150,15424
15320,15320,IL-2 Sturmovik: 1946,86,878,233693
15300,15300,Tom Clancys Ghost Recon(r),80,327,124110
15310,15310,The Settlers(r): Heritage of Kings,58,0,27082
15370,15370,Heroes of Might & Magic V: Tribes of the East,70,404,275481
15380,15380,Heroes of Might & Magic V: Hammers of Fate,66,0,236562
15390,15390,Brothers in Arms: Hells Highway(tm),79,485,112093
15520,15520,AaAaAA!!! - A Reckless Disregard for Gravity,81,579,173969
15620,15620,Warhammer(r) 40000(tm): Dawn of War(r) II,85,4541,2683249
16300,16300,Everyday Shooter,77,0,47348
16450,16450,F.E.A.R. 2: Project Origin,79,2524,1910790
16710,16710,Insecticide Part 1,65,376,118191
16720,16720,Velvet Assassin,61,1710,289291
16730,16730,Legendary,50,1794,288035
16810,16810,Sid Meiers Civilization IV: Colonization,83,255,1180838
17080,17080,Tribes: Ascend,86,7269,1883350
17100,17100,Children of the Nile: Enhanced Edition,75,129,51832
17140,17140,Hinterland,65,115,34256
17300,17300,Crysis,91,3881,1001129
17330,17330,Crysis Warhead(r),84,1131,847606
17390,17390,SPORE(tm),84,8853,1512993
17410,17410,Mirrors Edge(tm),81,14960,2800364
17430,17430,Need for Speed Undercover,65,1726,301666
17450,17450,Dragon Age: Origins,91,4146,842943
17460,17460,Mass Effect,89,6793,1551374
17470,17470,Dead Space,86,5984,2261060
17480,17480,Command & Conquer: Red Alert 3,82,2511,693007
17710,17710,Nuclear Dawn,71,1706,417167
18040,18040,DeathSpank,77,419,127876
18050,18050,DeathSpank: Thongs of Virtue,78,115,93082
18070,18070,The Baconing,63,154,125365
18120,18120,Unstoppable Gorg,73,187,68512
18400,18400,Crazy Machines 2,72,168,142224
18420,18420,Crazy Machines,78,0,53087
18430,18430,Crazy Machines 1.5,78,0,1793
18470,18470,Helldorado,65,0,32104
18480,18480,Mata Hari,63,0,32642
18500,18500,Defense Grid: The Awakening,81,2729,582707
18700,18700,And Yet It Moves,75,938,549886
19000,19000,Silent Hill Homecoming,64,409,79273
19030,19030,Rocket Knight,63,0,11120
19680,19680,Alice: Madness Returns,75,7107,661800
19800,19800,Brothers in Arms: Earned in Blood(tm),84,154,92903
19810,19810,The Sum of All Fears,72,0,2870
19830,19830,Tom Clancys Rainbow Six(r) 3 Gold,85,556,139534
19900,19900,Far Cry(r) 2: Fortunes Edition,85,4267,1272844
19930,19930,The Settlers(r): Rise Of An Empire Gold Edition,66,132,46452
19980,19980,Prince of Persia(r),82,783,264720
20500,20500,Red Faction Guerrilla Steam Edition,82,5452,1034488
20510,20510,S.T.A.L.K.E.R.: Clear Sky,75,2701,657854
20530,20530,Red Faction,78,945,542532
20540,20540,Company of Heroes: Tales of Valor,70,1088,2162597
20550,20550,Red Faction II,64,446,512222
20570,20570,Warhammer(r) 40000: Dawn of War(r) II Chaos Rising,85,1333,1864877
20710,20710,Mr. Robot,83,0,39278
20820,20820,Shatter,84,904,410890
20900,20900,The Witcher: Enhanced Edition Directors Cut,86,15728,3165161
20920,20920,The Witcher 2: Assassins of Kings Enhanced Edition,88,25180,4424016
21000,21000,LEGO Batman,80,550,221317
21010,21010,Watchmen: The End is Nigh,61,294,40533
21030,21030,Watchmen: The End is Nigh Part 2,44,110,34076
21090,21090,F.E.A.R.,88,3981,1230518
21100,21100,F.E.A.R. 3,74,5010,1844431
21130,21130,LEGO Harry Potter: Years 1-4,79,970,298796
21640,21640,Flock!,65,110,35691
21660,21660,Street Fighter(r) IV,91,343,108865
21670,21670,Bionic Commando,69,589,162491
21680,21680,Bionic Commando: Rearmed,86,570,437792
21690,21690,Resident Evil(tm) 5/ Biohazard 5(r),86,5145,839535
21780,21780,Driver(r) Parallel Lines,61,197,23136
21800,21800,Tom Clancys EndWar(tm),68,243,87164
21980,21980,Call of Juarez(r): Bound in Blood,78,828,211453
22000,22000,World of Goo,90,2685,1035206
22100,22100,Mount & Blade,72,2086,1003999
22120,22120,Penumbra: Black Plague Gold Edition,78,930,357085
22130,22130,Hearts of Iron 2 Complete,83,149,83039
22140,22140,Penumbra: Requiem,67,186,357085
22180,22180,Penumbra Overture,73,1096,477429
22200,22200,Zeno Clash,77,1800,485320
22230,22230,Rock of Ages,74,2278,464515
22300,22300,Fallout 3,91,8031,752730
22310,22310,Rogue Warrior,29,364,87523
22320,22320,The Elder Scrolls III: Morrowind(r) Game of the Year Edition,89,5428,1105690
22330,22330,The Elder Scrolls IV: Oblivion(r) Game of the Year Edition,94,7792,1728033
22340,22340,Call of Cthulhu(r): Dark Corners of the Earth,76,970,199078
22350,22350,BRINK,70,2880,656778
22370,22370,Fallout 3: Game of the Year Edition,91,15420,2300338
22380,22380,Fallout: New Vegas,84,41001,4637980
22450,22450,Hunted: The Demons Forge(tm),61,342,119806
22600,22600,Worms Reloaded,79,2172,898362
22610,22610,Alien Breed: Impact,64,722,408917
22650,22650,Alien Breed 2: Assault,63,536,480657
22670,22670,Alien Breed 3: Descent,64,213,297362
23310,23310,The Last Remnant(tm),66,2466,884911
23380,23380,Gyromancer,71,171,191904
23400,23400,Imperium Romanum Gold Edition,63,162,140969
23420,23420,Europa Universalis: Rome - Gold Edition,79,0,74071
23450,23450,Grand Ages: Rome,72,339,207687
23460,23460,Ceville,73,0,34076
23490,23490,Tropico 3 - Steam Special Edition,79,1266,1407356
23500,23500,Puzzle Quest: Galactrix,72,234,41250
23530,23530,Earth Defense Force: Insect Armageddon,69,617,66359
23600,23600,Depths of Peril,79,0,45734
24200,24200,DC Universe(tm) Online,72,9610,2414763
24240,24240,PAYDAY(tm) The Heist,76,34196,4355863
24420,24420,Aquaria,82,808,348656
24460,24460,King Arthur: Fallen Champions,54,0,84294
24480,24480,King Arthur II: The Role-Playing Wargame,66,271,162491
24720,24720,SPORE(tm) Galactic Adventures,70,1363,718474
24740,24740,Burnout Paradise: The Ultimate Box,87,7919,2048172
24790,24790,Command & Conquer 3: Tiberium Wars,85,1378,432233
24810,24810,Command & Conquer 3: Kanes Wrath,77,518,216116
24840,24840,Medal of Honor: Airborne,78,1145,180964
24870,24870,Need for Speed: Shift,83,749,200872
24960,24960,Battlefield: Bad Company(tm) 2,87,14553,1846583
24980,24980,Mass Effect 2,94,7263,1718886
25600,25600,Eschalon: Book I,75,106,40892
25700,25700,Madballs in Babo:Invasion,79,203,101512
25800,25800,Europa Universalis III Complete,83,1043,435819
25830,25830,Knights of Honor,77,537,91827
25850,25850,Elven Legacy,71,0,81963
42890,42890,Sword of the Stars: Complete Collection,75,293,127518
25890,25890,Hearts of Iron III,77,3002,509712
25900,25900,Kings Bounty: The Legend,79,781,402999
25910,25910,Supreme Ruler 2020 Gold,65,135,52729
25980,25980,Majesty 2,72,309,106534
26000,26000,The Maw,75,162,60261
26300,26300,Drug Wars,35,0,3766
26500,26500,Cogs,73,614,635974
26800,26800,Braid,90,5069,1202539
26900,26900,Crayon Physics Deluxe,79,623,620908
27000,27000,The Path,79,546,119447
27330,27330,Blacklight: Tango Down,65,314,61338
27400,27400,Dangerous High School Girls in Trouble!(tm),81,121,40892
28000,28000,Kane & Lynch 2: Dog Days,66,2723,764567
29160,29160,Blueberry Garden,68,104,47886
29180,29180,Osmos,80,761,563516
29900,29900,Dark Sector,66,288,73533
31170,31170,Tales of Monkey Island Complete Pack,79,310,216296
31270,31270,Puzzle Agent,70,1148,534462
31280,31280,Poker Night at the Inventory,71,5551,1037358
31290,31290,Back to the Future: The Game,74,1619,572305
31300,31300,Tunnel Rats,30,0,1255
31700,31700,Iron Grip: Warlord,59,305,157648
31800,31800,Nancy Drew(r): Danger by Design,70,0,9685
31810,31810,Nancy Drew(r): Last Train to Blue Moon Canyon,77,0,11837
31820,31820,Nancy Drew(r): The Haunted Carousel,85,0,13810
31830,31830,Nancy Drew(r): Curse of Blackmoor Manor,81,0,13989
31840,31840,Nancy Drew (r): Danger on Deception Island,81,0,11837
31860,31860,Nancy Drew(r): Legend of the Crystal Skull,79,0,11837
31880,31880,Nancy Drew(r): Secret of the Old Clock,80,0,10402
31900,31900,Nancy Drew(r): The Creature of Kapu Cave,68,0,11478
31910,31910,Nancy Drew(r): The Haunting of Castle Malloy,81,0,14707
31920,31920,Nancy Drew(r): The Phantom of Venice,69,0,12016
31930,31930,Nancy Drew(r): The White Wolf of Icicle Creek,73,0,12196
31980,31980,Nancy Drew(r): Ransom of the Seven Ships,78,0,11120
32330,32330,LEGO(r) Indiana Jones(tm): The Original Adventures,78,132,47169
32350,32350,STAR WARS(tm) Starfighter(tm),71,320,738920
32360,32360,The Secret of Monkey Island: Special Edition,86,1201,534641
32380,32380,STAR WARS(tm) Jedi Knight: Dark Forces II,91,735,1095467
32410,32410,Lucidity(tm),59,0,23495
32420,32420,STAR WARS(tm) The Clone Wars(tm) - Republic Heroes(tm),46,280,473124
32430,32430,STAR WARS(tm) - The Force Unleashed(tm) Ultimate Sith Edition,65,2351,1137794
32440,32440,LEGO(r) Star Wars(tm) - The Complete Saga,77,1426,432950
32450,32450,LEGO(r) Indiana Jones(tm) 2: The Adventure Continues,66,0,41430
32460,32460,Monkey Island(tm) 2 Special Edition: LeChucks Revenge(tm),87,695,421292
32500,32500,STAR WARS(tm): The Force Unleashed(tm) II,59,2061,1044353
32510,32510,LEGO(r) Star Wars(tm) III - The Clone Wars(tm),76,459,125724
32640,32640,Delta Force Land Warrior,74,0,15603
32650,32650,Delta Force: Task Force Dagger,51,0,12734
32660,32660,Delta Force: Xtreme,65,0,8071
32670,32670,Delta Force: Black Hawk Down,77,0,21522
32750,32750,Comanche 4,74,0,18114
32800,32800,Lord of the Rings: War in the North,66,5499,1562135
32900,32900,Restaurant Empire II,64,120,57213
33210,33210,Dawn of Discovery(tm),82,142,93082
33220,33220,Tom Clancys Splinter Cell Conviction(tm) Deluxe Edition,83,1329,583604
33230,33230,Assassins Creed 2 Deluxe Edition,86,8656,1222267
33320,33320,Prince of Persia: The Forgotten Sands(tm),75,540,224187
33390,33390,Zeit2,72,0,10761
33420,33420,Call of Juarez(r): The Cartel,51,742,187600
33440,33440,Driver San Francisco,80,2186,221676
33460,33460,From Dust,76,1667,454472
33570,33570,Patrician III,75,230,135588
33610,33610,Broken Sword 3 - the Sleeping Dragon,82,207,148322
33670,33670,Disciples III - Renaissance Steam Special Edition,56,225,166436
33900,33900,Arma 2,77,1928,1165234
33930,33930,Arma 2: Operation Arrowhead,73,15312,4131318
33990,33990,Alternativa,63,141,20805
34010,34010,Alpha Protocol(tm),72,2593,481195
34030,34030,Napoleon: Total War(tm),81,5919,2265365
34180,34180,Vancouver 2010(tm) - The Official Video Game of the Olympic Winter Games,57,0,10582
34190,34190,Sonic & SEGA All-Stars Racing,65,451,223828
34410,34410,Death to Spies: Moment of Truth,73,233,85012
34500,34500,Light of Altair,66,0,18473
34600,34600,Order of War(tm),69,225,182578
34630,34630,Massive Assault,77,0,3228
34650,34650,Massive Assault Network 2,72,0,3766
34800,34800,Chronicles of Mystery: The Scorpio Ritual,62,0,26902
34830,34830,Sniper: Ghost Warrior,55,2105,984988
34870,34870,Sniper: Ghost Warrior 2,52,3682,843302
34920,34920,Razor2: Hidden Skies,61,195,67256
35000,35000,Mini Ninjas,74,711,363721
35140,35140,Batman: Arkham Asylum Game of the Year Edition,91,13356,2817761
35130,35130,Lara Croft and the Guardian of Light,82,1991,976738
35310,35310,Clutch,51,102,23853
35450,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,76,20235,2752478
35460,35460,The Ball,68,674,297362
35700,35700,Trine Enchanted Edition,80,6891,1533260
35720,35720,Trine 2: Complete Story,84,12617,2645586
36620,36620,Forsaken World,69,821,425238
37010,37010,Ninja Blade,61,114,15783
37030,37030,UFO: Extraterrestrials Gold,68,124,96490
37260,37260,Emerald City Confidential(tm),71,0,6277
37400,37400,Time Gentlemen Please! and Ben There Dan That! Special Edition  Double Pack,84,527,449450
37700,37700,Darkest of Days,51,149,15245
37800,37800,Quantz,67,0,35511
38210,38210,Roogoo,72,330,75686
38230,38230,Hotel Giant 2,58,0,43941
38400,38400,Fallout: A Post Nuclear Role Playing Game,89,2648,837921
38410,38410,Fallout 2: A Post Nuclear Role Playing Game,86,2294,861057
38420,38420,Fallout Tactics: Brotherhood of Steel,82,596,739279
38440,38440,Sacrifice,89,234,54702
38460,38460,MDK 2,83,0,20446
38700,38700,Toki Tori,80,1606,490162
38720,38720,RUSH,73,1081,403178
38740,38740,EDGE,74,1555,426493
38830,38830,CrimeCraft: GangWars,68,1844,835052
39120,39120,RIFT,84,8009,2640923
39160,39160,Dungeon Siege III,72,1262,730312
39190,39190,Dungeon Siege,86,796,390085
39200,39200,Dungeon Siege II,80,536,410352
39210,39210,FINAL FANTASY(r) XIV: A Realm Reborn(tm),83,5022,499309
39500,39500,Gothic(r) 3,63,1707,428287
39510,39510,Gothic II: Gold Edition,79,1541,376813
39520,39520,The Guild Gold Edition,82,105,115501
39540,39540,SpellForce - Platinum Edition,74,405,165719
39550,39550,SpellForce 2: Gold Edition,80,247,177915
39560,39560,Painkiller: Resurrection,38,169,181502
39630,39630,AquaNox,67,156,132539
39640,39640,AquaNox 2: Revelation,59,0,129849
39650,39650,The Guild II,61,403,476532
39660,39660,The Guild II - Pirates of the European Seas,63,0,271894
39670,39670,Chaser,66,590,81963
39680,39680,The Guild II Renaissance,56,1188,350270
39690,39690,ArcaniA,63,958,382732
40100,40100,Supreme Commander 2,77,4468,1190702
40300,40300,Risen,77,2622,872536
40320,40320,Rush for Berlin Gold,76,0,21881
